Row Labels	Average of Temperature in kitchen area	Average of Humidity in kitchen area	Average of Temperature in living room area	Average of Humidity in living room area	Average of Temperature in laundry room	Average of Humidity in laundry room area	Average of Temperature in office 	Average of Humidity in office	Average of Temperature in bathroom	Average of Humidity in bathroom	Average of Temperature in ironing room	Average of Temperature outside the building (north side)	Average of Humidity outside the building (north side)	Average of Humidity in ironing room	Average of Temperature in teenager room	Average of Humidity in teenager room	Average of Temperature in parents room	Average of Humidity in parents room	Average of Humidity outside (from Chievres weather station)	Average of emperature outside (from Chievres weather station)
1.00	19.94517454	42.28448038	19.10229532	41.65606972	19.87647987	42.68062357	18.48652892	42.71362138	17.56847878	54.12117086	17.60286294	3.894546516	92.17516593	39.16863122	18.99537824	47.19764514	16.69385238	44.43704369	86.60746064	4.128939083
2.00	21.16381745	41.01017429	19.92470381	40.53836546	21.41749961	40.81378883	19.89440314	40.36617636	18.70186894	54.65709278	19.07439566	4.880270689	79.9612229	36.55829988	21.32810238	44.75553753	18.3005144	43.01299738	84.23012452	4.817301245
3.00	21.25976004	37.92392664	19.14109559	39.68816173	21.53407433	37.24206925	20.27784236	36.32260002	18.89167295	48.74819748	19.86584071	5.856131586	54.87342534	32.22396078	22.12782656	40.13080871	19.10272526	39.31095758	80.73499104	5.439415323
4.00	21.85651119	39.72223978	20.22440471	40.68637519	23.01852623	37.76783893	21.38188934	37.61375413	20.22825027	48.72083149	21.01110261	9.276929989	34.08961069	33.55422791	22.61965483	40.72575259	20.29204668	39.91045093	77.2099537	8.513451389
5.00	23.69128304	41.87538773	23.14386583	40.40762818	24.66881924	39.47175481	23.52560831	39.92676697	22.22124765	49.9301224	22.97267657	14.90107604	23.97250674	37.73071349	24.05269798	43.33342261	22.43351853	42.26524361	70.55118728	14.24278002
6.00	22.50023148	45.99583333	22.48541667	43.48287037	22.51412037	42.99560185	22.01435185	42.47592593	22.52337963	52.025	21.48773148	13.41643519	42.17453704	42.48263889	22.48009259	42.45763889	22.49305556	42.4787037	65.1962963	16.95162037
7.00	22.51769713	46.01075269	22.4905914	43.50246416	22.5421147	42.98073477	21.96774194	42.49327957	22.47334229	51.99305556	21.50515233	13.5188172	42.68615591	42.53248208	22.48633513	42.52396953	22.54345878	42.50448029	64.81496416	17.03315412
8.00	22.49103943	45.98633513	22.50515233	43.50112007	22.47894265	43.02060932	22.03360215	42.4453405	22.52755376	51.98924731	21.49619176	13.49171147	42.84408602	42.5172491	22.52352151	42.54077061	22.44130824	42.48633513	65.24484767	16.98857527
9.00	22.53611111	45.99537037	22.5412037	43.48819444	22.49166667	42.99189815	21.97361111	42.46851852	22.49212963	52.03125	21.52523148	13.5650463	41.76898148	42.50486111	22.47939815	42.47824074	22.4587963	42.52337963	64.66782407	17.01226852
10.00	22.50560036	45.98006272	22.47334229	43.50694444	22.48342294	42.9905914	22.02419355	42.45967742	22.49507168	51.98095878	21.52755376	4.525985663	42.99238351	42.48700717	22.48678315	42.47065412	22.49417563	42.48700717	65.08042115	5.533602151
11.00	22.52662037	46.01851852	22.54189815	43.49861111	22.49768519	43.01990741	22.02407407	42.45856481	22.53194444	51.98958333	21.52638889	4.472222222	42.75462963	42.4787037	22.48055556	42.48819444	22.49050926	42.51041667	64.99259259	5.543287037
12.00	22.52732975	46.00089606	22.48364695	43.50201613	22.4937276	43.00649642	22.00492832	42.47468638	22.48207885	51.9921595	21.50067204	4.480510753	42.76075269	42.48207885	22.47222222	42.45497312	22.51836918	42.54189068	65.04099462	5.479166667
Grand Total	22.19536934	43.78480033	21.66836649	42.31150066	22.41068181	41.55177161	21.56180428	41.14266343	21.37944604	51.5967924	21.02997041	9.013650516	47.19194442	39.75544606	22.30951529	42.66133505	21.33186386	42.13788806	70.69564325	10.33044525
